,clustering_coefficient
6737595007,1.0
1564576848,1.0
1528008702,1.0
1576529843,1.0
1795800186,1.0
967830568,1.0
1625632945,1.0
1884011971,1.0
1541815411,1.0
7443390079,1.0
870390575,1.0
398273003,1.0
6199877160,1.0
1326587644,1.0
2018930217,1.0
7047858276,1.0
1431122332,1.0
5887900067,1.0
6791132667,1.0
1530181597,1.0
6884441051,1.0
1073039366,1.0
1517573643,1.0
6609999416,1.0
1538165825,1.0
1539294129,1.0
1514314541,1.0
1606913012,1.0
1541282251,1.0
1619128233,1.0
1562388638,1.0
1327384370,1.0
6246841225,1.0
1478042510,1.0
6944983458,1.0
1781308697,1.0
1430565155,1.0
1705274713,1.0
5272682245,1.0
219690337,1.0
5470455800,1.0
1551319822,1.0
6537958059,1.0
1423689498,1.0
1431248851,1.0
6436048378,1.0
1591827465,1.0
1548934097,1.0
1696697197,1.0
1522949573,1.0
1090110777,1.0
1518908499,1.0
1931223763,1.0
1566397039,1.0
1556367105,1.0
1477541330,1.0
1717673828,1.0
1261226601,1.0
1519603339,1.0
1592957687,1.0
801817113,1.0
6195516681,1.0
1606764922,1.0
5326130701,1.0
1552892999,1.0
6185741315,1.0
1520642553,1.0
1928324501,1.0
1430723673,1.0
1452287597,1.0
1512771892,1.0
1568874803,1.0
1543395721,1.0
1516836115,1.0
1355965547,1.0
1835131684,1.0
1957037286,1.0
1919114944,1.0
6940300201,1.0
1476834066,1.0
1522286482,1.0
1586243161,1.0
1568927431,1.0
1728266348,1.0
1784378706,1.0
1554833381,1.0
1583123547,1.0
1445085711,1.0
480034218,1.0
1586964348,1.0
1557397835,1.0
1505699154,1.0
1540569102,1.0
1563997741,1.0
1807152569,1.0
1521036929,1.0
1682486704,1.0
939572286,1.0
2109248468,1.0
1925991507,1.0
1747353089,1.0
2072550545,1.0
1251655842,1.0
1443855934,1.0
1551543731,1.0
1523133724,1.0
7078836375,1.0
1033601725,1.0
1523713688,1.0
1465074181,1.0
1580501414,1.0
1632896937,1.0
1470064144,1.0
1113574345,1.0
1965895543,1.0
823049395,1.0
5440936541,1.0
1611172039,1.0
1553790355,1.0
1587010077,1.0
1531500292,1.0
5105835550,1.0
1524427508,1.0
2023728593,1.0
1590253308,1.0
1503413891,1.0
1553755213,1.0
1539996796,1.0
1551953871,1.0
1537835260,1.0
1595722287,1.0
1663500097,1.0
5540183990,1.0
6993260093,1.0
1540949662,1.0
7271463623,1.0
1738958121,1.0
6089194070,1.0
1433955317,1.0
1596330396,1.0
1664609501,1.0
1852190711,1.0
1571153361,1.0
1549522800,1.0
1556951665,1.0
1439333948,1.0
1598541375,1.0
1581136039,1.0
1588775593,1.0
1663242712,1.0
1579812621,1.0
1537834415,1.0
7246087340,1.0
1721791308,1.0
1591777096,1.0
1508989943,1.0
1225389304,1.0
7329707986,1.0
1215538453,1.0
6218016802,1.0
1491014282,1.0
1610074102,1.0
5371117764,1.0
6690926801,1.0
1410981193,1.0
6895898412,1.0
1585420724,1.0
1137516314,1.0
5215152748,1.0
1509262438,1.0
6942645928,1.0
7502059214,1.0
1574451092,1.0
1560093394,1.0
7089627163,1.0
5841269595,1.0
1846068803,1.0
1414505059,1.0
7891298047,1.0
1716370314,1.0
1559981817,1.0
6425611051,1.0
5293927224,1.0
1560584758,1.0
1590731240,1.0
1561736947,1.0
1578277892,1.0
1501794062,1.0
1429652687,1.0
1537304859,1.0
896753236,1.0
1431070456,1.0
1531295154,1.0
6390243457,1.0
1563027531,1.0
6963401246,1.0
1330824799,1.0
6776480105,1.0
7437336592,1.0
1539634993,1.0
1587002523,1.0
1598809093,1.0
1558601736,1.0
5065421770,1.0
6553125852,1.0
1507298482,1.0
1517928112,1.0
1539496644,1.0
1686860983,1.0
2113889473,1.0
1470603880,1.0
5214661080,1.0
2122782072,1.0
1587119107,1.0
6222272035,1.0
7010601843,1.0
1502233655,1.0
1464023960,1.0
1626473852,1.0
1581468690,1.0
1561254154,1.0
1207514069,1.0
6350207580,1.0
1511290283,1.0
516831279,1.0
1422624796,1.0
1662688866,1.0
6367331162,1.0
1572774410,1.0
1663091951,1.0
1411109297,1.0
1573974142,1.0
2108676525,1.0
5150077791,1.0
1539102839,1.0
1951804466,1.0
1684128493,1.0
1544946810,1.0
1528459810,1.0
1573385379,1.0
1152688442,1.0
1977879666,1.0
1621600205,1.0
1594696738,1.0
1651028093,1.0
5615105796,1.0
1476597437,1.0
1856483050,1.0
1563872141,1.0
1559384705,1.0
1362727159,1.0
1581631789,1.0
1603660598,1.0
1815085075,1.0
1791432223,1.0
2025539102,1.0
1398754744,1.0
2045773481,1.0
1542308446,1.0
1396521047,1.0
7184290455,1.0
6137951703,1.0
6285546119,1.0
1540505767,1.0
2013399451,1.0
6496511395,1.0
1695321955,1.0
6667234644,1.0
1473708233,1.0
6453609144,1.0
1937004139,1.0
5293596111,1.0
1583039966,1.0
1533738125,1.0
1502747877,1.0
1592123487,1.0
1558528476,1.0
1556162618,1.0
1495005669,1.0
1535790932,1.0
1595764980,1.0
6625584772,1.0
6387797113,1.0
1579947079,1.0
1260273074,1.0
715618943,1.0
1920292636,1.0
5523811964,1.0
1470919946,1.0
6254053740,1.0
1532251555,1.0
1684209114,1.0
1429137275,1.0
1690305312,1.0
1003340735,1.0
1936686916,1.0
1451594862,1.0
1407223189,1.0
1536228148,1.0
1523303197,1.0
1588394406,1.0
1387400301,1.0
1563599321,1.0
1585460317,1.0
1228068198,1.0
1618157614,1.0
1002278763,1.0
1186198,1.0
1520432689,1.0
1591591159,1.0
1657843179,1.0
6930571457,1.0
5080068770,1.0
1953107766,1.0
1563031413,1.0
7515095816,1.0
7456894731,1.0
6654859806,1.0
6444529127,1.0
1467963032,1.0
1402661257,1.0
1517816520,1.0
6270808045,1.0
5292205585,1.0
912319165,1.0
1507321699,1.0
1577558728,1.0
5616993681,1.0
1582105733,1.0
1676865704,1.0
6178639055,1.0
1440207835,1.0
1448028296,1.0
1507558051,1.0
1183251650,1.0
1585394177,1.0
1457559959,1.0
2059508635,1.0
1551820677,1.0
1498486684,1.0
1507562698,1.0
1594082054,1.0
2117098217,1.0
1689488383,1.0
1580582999,1.0
1594718146,1.0
1507308317,1.0
1479304084,1.0
2002377286,1.0
1787720870,1.0
1733076133,1.0
6153067670,1.0
1380318718,1.0
6863204566,1.0
1519738918,1.0
1554007779,1.0
1787905927,1.0
1463258734,1.0
1530881971,1.0
1617860468,1.0
1612272486,1.0
1607790457,1.0
1381552451,1.0
1592960172,1.0
1084696230,1.0
5064265109,1.0
2012763915,1.0
1468171028,1.0
1423733520,1.0
1760341694,1.0
1545419577,1.0
5273450674,1.0
5994699730,1.0
1501601784,1.0
1535024335,1.0
1612266416,1.0
1513757332,1.0
855071312,1.0
1946353983,1.0
1507036994,1.0
1514176543,1.0
1526334558,1.0
5965968288,1.0
1349301146,1.0
1589165034,1.0
1645227358,1.0
499062652,1.0
1401038147,1.0
1541588279,1.0
1405302410,1.0
1963716970,1.0
1637378881,1.0
1922222411,1.0
6227772471,1.0
6356598239,1.0
1595457133,1.0
1529197893,1.0
818448635,1.0
1218755078,1.0
1442932087,1.0
5540616307,1.0
1640561850,1.0
1640142724,1.0
1599012545,1.0
1683685936,1.0
1550061566,1.0
2067743763,1.0
7193029138,1.0
6739075180,1.0
1864282198,1.0
7253240579,1.0
2093965247,1.0
1575199448,1.0
1622503691,1.0
1505150364,1.0
799205663,1.0
1593547061,1.0
1509759405,1.0
1502835354,1.0
1533300190,1.0
1563652704,1.0
1429666221,1.0
546153640,1.0
1414972582,1.0
1766449245,1.0
1846944957,1.0
5302978609,1.0
1578935082,1.0
1093992630,1.0
1556914909,1.0
2067325124,1.0
1694871131,1.0
1218480324,1.0
1338849634,1.0
1488083762,1.0
7170474713,1.0
5016604756,1.0
1396235076,1.0
1891454638,1.0
1417410170,1.0
1404680880,1.0
1742658616,1.0
1628460945,1.0
7343317477,1.0
7263442931,1.0
5158976837,1.0
1580430643,1.0
1563062459,1.0
5419708762,1.0
1983013884,1.0
1760621600,1.0
1626984876,1.0
6789680426,1.0
1930718833,1.0
1804594511,1.0
1515796146,1.0
1542975835,1.0
1520974806,1.0
972096632,1.0
1955528115,1.0
1522269420,1.0
1571153240,1.0
930599189,1.0
1550540892,1.0
1408101911,1.0
1556032385,1.0
1525325262,1.0
1745999978,1.0
2069443668,1.0
1699023488,1.0
1480974824,1.0
5131340784,1.0
1515621325,1.0
1849614451,1.0
5235529834,1.0
1297902647,1.0
1501599484,1.0
7178288313,1.0
1335716084,1.0
1443449776,1.0
5055517159,1.0
1753126254,1.0
1962613690,1.0
1595259825,1.0
5751505427,1.0
980774655,1.0
2050734458,1.0
7303125427,1.0
2020873895,1.0
226155439,1.0
1306980890,1.0
1677929083,1.0
998433526,1.0
1595533287,1.0
1273477110,1.0
375734206,1.0
1406759720,1.0
1560707284,1.0
5887251922,1.0
1932962361,1.0
6676244853,1.0
1758955830,1.0
1880881412,1.0
1403199163,1.0
1557266487,1.0
1687099121,1.0
1589896299,1.0
6385947207,1.0
6156827688,1.0
1511829153,1.0
6769123840,1.0
1486628823,1.0
1515855398,1.0
1416816610,1.0
6268109858,1.0
2076764522,1.0
1657422284,1.0
1941928084,1.0
1559057246,1.0
1529355107,1.0
1900583744,1.0
8084631471,1.0
1933566952,1.0
1547575548,1.0
1890998770,1.0
1853930920,1.0
1434851646,1.0
1760309592,1.0
1109220237,1.0
1477137481,1.0
1608436985,1.0
1654658742,1.0
5662579094,1.0
1442569068,1.0
1847416385,1.0
1601817242,1.0
811949320,1.0
1594032745,1.0
1598093068,1.0
7570513128,1.0
1645753347,1.0
1502881486,1.0
6634933446,1.0
1445285138,1.0
1482662212,1.0
5749205552,1.0
1487763275,1.0
725878066,1.0
1605909769,1.0
1562386533,1.0
1593843416,1.0
1686251384,1.0
1571132616,1.0
1588741047,1.0
1933496775,1.0
1514289182,1.0
5499041425,1.0
1510675040,1.0
1557898609,1.0
862093045,1.0
1508197618,1.0
1599378531,1.0
1567690657,1.0
2040778130,1.0
1532847933,1.0
5861835153,1.0
1008080143,1.0
1586266277,1.0
7117706857,1.0
6636887596,1.0
1887637730,1.0
1644552670,1.0
7136185833,1.0
1503411495,1.0
1505300355,1.0
5824603267,1.0
1181039572,1.0
1500396768,1.0
1534463942,1.0
1605151783,1.0
1572914971,1.0
1545294291,1.0
1411763097,1.0
6868273572,1.0
1585049896,1.0
1530837420,1.0
1580156255,1.0
2078534238,1.0
1613453324,1.0
1496834304,1.0
1574845495,1.0
1872463177,1.0
1557076541,1.0
1347660392,1.0
1718619307,1.0
1699653929,1.0
6454040,1.0
1442584888,1.0
1577369349,1.0
1554654244,1.0
1575444698,1.0
1628910309,1.0
1596419469,1.0
1527443336,1.0
1480170963,1.0
6156209179,1.0
1424180124,1.0
1570703410,1.0
1560116755,1.0
5273219985,1.0
6320818126,1.0
1571009370,1.0
1363231239,1.0
1505435007,1.0
1555932283,1.0
1933954454,1.0
1598656154,1.0
7022268533,1.0
733856103,1.0
1268780226,1.0
1638561810,1.0
6326758634,1.0
1651569788,1.0
5100562003,1.0
1584115614,1.0
5915647621,1.0
1541014510,1.0
6339149753,1.0
5156810387,1.0
1574420742,1.0
1598606958,1.0
813944355,1.0
778175916,1.0
1930259213,1.0
6486724022,1.0
1475575592,1.0
1440777077,1.0
1519976440,1.0
1707309429,1.0
1869031339,1.0
6946248213,1.0
1528859725,1.0
1536305808,1.0
1503234165,1.0
1401488753,1.0
1973789555,1.0
1739428427,1.0
6376407935,1.0
1527043910,1.0
7494553371,1.0
1529077448,1.0
1956925875,1.0
1480992568,1.0
1978736470,1.0
1530017979,1.0
1691162548,1.0
580437889,1.0
5459335652,1.0
894225762,1.0
1485699719,1.0
1874136281,1.0
1572779712,1.0
1559006683,1.0
1454303210,1.0
1740463108,1.0
1671564557,1.0
1847777547,1.0
1500324511,1.0
1230563747,1.0
750910192,1.0
1549445692,1.0
1347070819,1.0
1515516444,1.0
1675378108,1.0
1827649761,1.0
1919843257,1.0
1651895050,1.0
1996709127,1.0
1539703848,1.0
1941789917,1.0
1936707636,1.0
5780831378,1.0
1578284529,1.0
1517034746,1.0
1599670257,1.0
5305040896,1.0
7007146658,1.0
6714082735,1.0
7007424750,1.0
1531111014,1.0
1589130772,1.0
5618318488,1.0
1650164483,1.0
1243886755,1.0
5766962518,1.0
1560694988,1.0
1688928930,1.0
1402102670,1.0
1954843356,1.0
1383054083,1.0
5945474091,1.0
1510365074,1.0
1300782477,1.0
5650694254,1.0
6889470316,1.0
1965962646,1.0
1568675124,1.0
6145240038,1.0
1505597627,1.0
1609421880,1.0
1598083645,1.0
1581893459,1.0
1563890839,1.0
1513392992,1.0
1616828213,1.0
1730408407,1.0
6085322229,1.0
1597481166,1.0
1314225996,1.0
6201975054,1.0
1354159928,1.0
5881627694,1.0
6910783763,1.0
1515720390,1.0
1561434060,1.0
1500534726,1.0
1539969666,1.0
855058249,1.0
5097851547,1.0
1942093599,1.0
2043502889,1.0
1889371176,1.0
1553358407,1.0
1447251674,1.0
1396077074,1.0
1540275505,1.0
1420952111,1.0
1496742670,1.0
1456421204,1.0
1575717441,1.0
1417227518,1.0
5509498112,1.0
1585995723,1.0
1761803916,1.0
1681268924,1.0
1518688487,1.0
1679563557,1.0
1652318700,1.0
1338283064,1.0
1607098847,1.0
1547034033,1.0
1513283017,1.0
1814046898,1.0
1827375128,1.0
1584912064,1.0
1652416361,1.0
1505307576,1.0
1604557388,1.0
5310414019,1.0
1421755669,1.0
1597763133,1.0
7081238147,1.0
1571397005,1.0
1595178582,1.0
1586240088,1.0
728727299,1.0
1408810043,1.0
1647940476,1.0
1918743750,1.0
2095668029,1.0
6075649456,1.0
1553429123,1.0
5641513947,1.0
1484856686,1.0
1501178516,1.0
1507174815,1.0
6895307595,1.0
1535782885,1.0
869102058,1.0
1571185309,1.0
5086037897,1.0
1830515082,1.0
1506876344,1.0
1558594459,1.0
6453699030,1.0
2008369600,1.0
7110347978,1.0
1528407095,1.0
1521242211,1.0
1640612415,1.0
1529820124,1.0
5873842014,1.0
1806776377,1.0
1413005797,1.0
1521577179,1.0
1378079127,1.0
1085037080,1.0
1055376538,1.0
1617842480,1.0
1553240062,1.0
1550047060,1.0
1642331337,1.0
1038441745,1.0
1828134803,1.0
1546948684,1.0
1554242897,1.0
1546043933,1.0
1519105070,1.0
1571781226,1.0
1375801614,1.0
1581165045,1.0
1519062825,1.0
1806903796,1.0
6056099417,1.0
5736641943,1.0
1376408743,1.0
1426928488,1.0
1408384850,1.0
1980832531,1.0
1507986804,1.0
1783382871,1.0
1438870328,1.0
1416891984,1.0
1517712042,1.0
1546911336,1.0
1885976347,1.0
1998217095,1.0
1661153263,1.0
1522919441,1.0
1519289766,1.0
1596125178,1.0
6727924528,1.0
1788123132,1.0
5132194563,1.0
1287235274,1.0
5389720883,1.0
5033504169,1.0
1296593526,1.0
5881808941,1.0
1358299762,1.0
1479922286,1.0
1400830940,1.0
5546375127,1.0
1907133544,1.0
1643147186,1.0
1531385427,1.0
1501435488,1.0
1582662602,1.0
1575304533,1.0
1758093410,1.0
7473066830,1.0
1468273886,1.0
1512668359,1.0
6715197390,1.0
1594101708,1.0
1551319995,1.0
1636522015,1.0
1624042860,1.0
1930087994,1.0
1515274962,1.0
5765778826,1.0
1552643405,1.0
1664127312,1.0
1525027781,1.0
1538378306,1.0
1863105151,1.0
1526688292,1.0
1551766228,1.0
1468174746,1.0
1505051302,1.0
1561094729,1.0
1721005017,1.0
1528496674,1.0
1528872998,1.0
1670161689,1.0
1572748950,1.0
1562127057,1.0
1186466170,1.0
6068626505,1.0
1567881968,1.0
1673149103,1.0
1781588447,1.0
1458856603,1.0
5012540835,1.0
1349235320,1.0
1446400701,1.0
1510760487,1.0
1596224296,1.0
6306085524,1.0
1424590042,1.0
6458718131,1.0
1535019500,1.0
5591691769,1.0
1677170969,1.0
1762295263,1.0
5533410166,1.0
6301598250,1.0
1540807388,1.0
7340704406,1.0
6291862343,1.0
1626183795,1.0
1524774475,1.0
7226587347,1.0
1573369814,1.0
1833924461,1.0
1464810540,1.0
1423411319,1.0
1438199780,1.0
1539617366,1.0
1539843539,1.0
2022241360,1.0
1556960438,1.0
1554128392,1.0
1551255454,1.0
1590951259,1.0
6381258808,1.0
1681931666,1.0
1672030665,1.0
7274295820,1.0
7033271714,1.0
1358159840,1.0
1774501483,1.0
1429449812,1.0
1749911640,1.0
1912927063,1.0
1667344980,1.0
1513538268,1.0
1538166078,1.0
6198992993,1.0
1160990483,1.0
7076266309,1.0
1407853576,1.0
1670817700,1.0
1469313829,1.0
1574697926,1.0
1530936562,1.0
6725224627,1.0
1816228050,1.0
2009776029,1.0
5172180784,1.0
1668159588,1.0
1261735672,1.0
1523882868,1.0
1569894952,1.0
1999719278,1.0
1539959664,1.0
1537573501,1.0
1627124495,1.0
1438287657,1.0
2048805458,1.0
1561708553,1.0
1500841480,1.0
1433810604,1.0
5782611818,1.0
6113434039,1.0
1517085483,1.0
1572214584,1.0
1503050687,1.0
6743981727,1.0
7191524693,1.0
1615768029,1.0
1448180197,1.0
5866949866,1.0
6461187752,1.0
1770749644,1.0
5502354224,1.0
6105960730,1.0
1728645744,1.0
1532977417,1.0
5306819543,1.0
7279931059,1.0
6851674982,1.0
7322960082,1.0
1663729772,1.0
1429456667,1.0
1512473493,1.0
1500598451,1.0
1575308774,1.0
1576341798,1.0
1489686571,1.0
1581985380,1.0
1413184442,1.0
5230665038,1.0
5990735999,1.0
6840156473,1.0
5346263731,1.0
1384125008,1.0
6168568655,1.0
1794549485,1.0
1509903844,1.0
863254626,1.0
1631647195,1.0
589178532,1.0
1404468649,1.0
6087483041,1.0
6124932444,1.0
1560444579,1.0
7186663921,1.0
1695364831,1.0
6469261835,1.0
1751555484,1.0
1480433763,1.0
1603816183,1.0
1712863482,1.0
6857563011,1.0
1572645264,1.0
1118349369,1.0
1583341092,1.0
1553859644,1.0
5040714680,1.0
5689722236,1.0
623053426,1.0
6846647614,1.0
1577366548,1.0
6549386726,1.0
1916555383,1.0
7529162305,1.0
6790379386,1.0
1494731563,1.0
5547720308,1.0
1589740209,1.0
5541808265,1.0
1536142264,1.0
1568787457,1.0
1460265888,1.0
1446327821,1.0
6210513990,1.0
1610231054,1.0
6745355417,1.0
1562849180,1.0
1568805578,1.0
7008242512,1.0
2079157588,1.0
1406054988,1.0
1546548755,1.0
1074822313,1.0
1654581417,1.0
1581878925,1.0
1689883175,1.0
1573863616,1.0
1909436699,1.0
1011233432,1.0
1564349396,1.0
2027553564,1.0
1427841124,1.0
1513316238,1.0
1521716167,1.0
6888361581,1.0
7419153151,1.0
1479558961,1.0
1545735023,1.0
169093140,1.0
1543776997,1.0
1594674152,1.0
1354486410,1.0
5723808656,1.0
1458496682,1.0
1424435744,1.0
1542991362,1.0
1520291399,1.0
1510616737,1.0
5807486840,1.0
6526540471,1.0
2048316308,1.0
1626781788,1.0
1414119117,1.0
5861317220,1.0
2063043284,1.0
1650848225,1.0
1540990650,1.0
1553583692,1.0
6061489817,1.0
1504157396,1.0
1613263417,1.0
5155343568,1.0
1573443793,1.0
1597824359,1.0
1685986220,1.0
2141192699,1.0
1548528662,1.0
1587141903,1.0
1566992352,1.0
1517993530,1.0
7171568732,1.0
1538036373,1.0
6052281407,1.0
1499533942,1.0
6405810079,1.0
1528438662,1.0
1575188980,1.0
5108167052,1.0
1537784603,1.0
1456806788,1.0
5132658439,1.0
1507656335,1.0
1688334517,1.0
5267775956,1.0
1405288622,1.0
6268935985,1.0
1513257380,1.0
1488004115,1.0
1566113951,1.0
1582723487,1.0
1472291250,1.0
1569527363,1.0
1379306972,1.0
1354625425,1.0
6067240816,1.0
1956091696,1.0
1462201206,1.0
1543771138,1.0
5850102028,1.0
6478461262,1.0
6588683559,1.0
879097961,1.0
1531866547,1.0
1527023622,1.0
1472392384,1.0
6033178638,1.0
1539226655,1.0
1557331052,1.0
2014567199,1.0
7264733550,1.0
1300532334,1.0
5657923172,1.0
1590245815,1.0
1502723960,1.0
6100157035,1.0
1425846091,1.0
6753683143,1.0
2092152273,1.0
1789378742,1.0
1632404222,1.0
1506726955,1.0
1591488716,1.0
1689039330,1.0
1459048898,1.0
1474947617,1.0
1492375060,1.0
1126218956,1.0
1960322775,1.0
6876909755,1.0
6931240279,1.0
1981624473,1.0
1508045841,1.0
1400714092,1.0
1766273137,1.0
5956437482,1.0
1578097969,1.0
1887971836,1.0
1402605682,1.0
6189232181,1.0
7119115841,1.0
1478296318,1.0
1847046528,1.0
1978534850,1.0
1886839139,1.0
5092436025,1.0
1577274204,1.0
7148012163,1.0
1576891648,1.0
1233957021,1.0
7352990838,1.0
1501937045,1.0
1615240165,1.0
6576222791,1.0
7205237678,1.0
1441434298,1.0
5645552582,1.0
1690194842,1.0
1537518810,1.0
6841388477,1.0
5047283927,1.0
1939471890,1.0
1920773867,1.0
1198902231,1.0
5566244013,1.0
7526293567,1.0
1456366414,1.0
1510245101,1.0
7495281891,1.0
7544513286,1.0
7256847945,1.0
7331699404,1.0
1459745755,1.0
1568980165,1.0
1506865794,1.0
6132001622,1.0
1540320453,1.0
6956145185,1.0
1569649670,1.0
1552071143,1.0
5734600470,1.0
5658179949,1.0
6281856807,1.0
1500609724,1.0
1585372359,1.0
7010974524,1.0
6750049317,1.0
1431852086,1.0
5556375920,1.0
1589196262,1.0
5562987097,1.0
1541067183,1.0
1574365706,1.0
1404009637,1.0
1751474594,1.0
1589051916,1.0
1854284614,1.0
2142319553,1.0
1943773664,1.0
6881079236,1.0
1995417462,1.0
1959034218,1.0
6007436920,1.0
1623763133,1.0
1515025898,1.0
1572322231,1.0
5033865999,1.0
6502914203,1.0
1727504483,1.0
5292739885,1.0
1735443279,1.0
1570175871,1.0
1673309116,1.0
1546578309,1.0
1558510582,1.0
1464016136,1.0
1364296117,1.0
1710959263,1.0
1567026630,1.0
5025859684,1.0
1547682885,1.0
1318220388,1.0
1537841165,1.0
1613235344,1.0
616648134,1.0
1265116593,1.0
2025226506,1.0
1505710141,1.0
2089214755,1.0
1579996693,1.0
1753809310,1.0
1506237241,1.0
2007444636,1.0
6452460931,1.0
6595570074,1.0
6205403618,1.0
1426390169,1.0
7445343500,1.0
7357232910,1.0
1427527746,1.0
1991331737,1.0
7002059700,1.0
7196048122,1.0
2030773568,1.0
1557084617,1.0
2015725861,1.0
1515938565,1.0
5823271220,1.0
1468900512,1.0
956922298,1.0
6152534817,1.0
1509796482,1.0
1561996400,1.0
1556518389,1.0
1971468370,1.0
1513585086,1.0
7217763140,1.0
1519095172,1.0
5323169343,1.0
1987938024,1.0
1497255529,1.0
1868961841,1.0
1616345787,1.0
1436354560,1.0
7474729200,1.0
2070777138,1.0
975457695,1.0
1848973341,1.0
7258976698,1.0
7037632207,1.0
1518535729,1.0
1996678083,1.0
5153465381,1.0
7245283366,1.0
1518463873,1.0
1403245963,1.0
7257705465,1.0
1522132094,1.0
5258864687,1.0
1560988756,1.0
5114890244,1.0
7124623876,1.0
1797794674,1.0
1675454838,1.0
1042323733,1.0
1515309280,1.0
1555455894,1.0
6818714664,1.0
1524722166,1.0
2067454822,1.0
1586507118,1.0
1315298626,1.0
7203791992,1.0
1971925779,1.0
1637082075,1.0
81859136,1.0
5852797282,1.0
5192359499,1.0
1861512685,1.0
1478832586,1.0
1526348677,1.0
2128035101,1.0
1839819246,1.0
1591671784,1.0
7707339945,1.0
1574099032,1.0
1509594011,1.0
1919161581,1.0
5359825760,1.0
5870326054,1.0
5227096958,1.0
1574862531,1.0
1641730336,1.0
7754048401,1.0
6894484105,1.0
6924856549,1.0
1910741912,1.0
1516817901,1.0
602128244,1.0
1514942671,1.0
1585664099,1.0
5626451486,1.0
5183170660,1.0
6051394404,1.0
1724347926,1.0
7074579955,1.0
1916394011,1.0
7107682409,1.0
6448345435,1.0
1732649385,1.0
1447097347,1.0
1619946431,1.0
1482917990,1.0
1098461926,1.0
5944361640,1.0
1582809627,1.0
1598032788,1.0
7191750276,1.0
5558379211,1.0
834561155,1.0
1601863076,1.0
1571540970,1.0
1563532138,1.0
6675777374,1.0
1437406967,1.0
1692635766,1.0
1558536477,1.0
1148139322,1.0
6457778452,1.0
5484449792,1.0
1810018682,1.0
5116046224,1.0
1108773926,1.0
1291420094,1.0
1524156077,1.0
1711868069,1.0
1665750033,1.0
7279207171,1.0
1528094050,1.0
1518445631,1.0
1874906336,1.0
1500312020,1.0
6726134915,1.0
7685685639,1.0
1317150699,1.0
2005046939,1.0
7042693466,1.0
6248637421,1.0
1188377330,1.0
6715152800,1.0
1583168589,1.0
1811689661,1.0
1903585501,1.0
630763074,1.0
1511809224,1.0
1997810614,1.0
1547651767,1.0
1548710637,1.0
1569341137,1.0
1506366456,1.0
6495365380,1.0
1528722521,1.0
1627045244,1.0
5262121863,1.0
1542211324,1.0
1614678759,1.0
1381180960,1.0
1781081781,1.0
1909330688,1.0
1555171719,1.0
1650046826,1.0
1708847538,1.0
1719381976,1.0
1471513942,1.0
1538680159,1.0
6944912288,1.0
699762192,1.0
7243093308,1.0
1617758092,1.0
7472550900,1.0
6849113945,1.0
6348375325,1.0
1518143613,1.0
1547997564,1.0
1510494957,1.0
1406334324,1.0
7311739609,1.0
1431004754,1.0
2009172953,1.0
1624389391,1.0
1784930333,1.0
5159388482,1.0
842685207,1.0
6227720451,1.0
